Lat,Lng,Altitude(f,Accuracy,Date2
34.166750000000000,-118.591099999999997,"820","65",2019-09-02 12:43:38-07:00
34.167569999999998,-118.581000000000003,"941","10",2019-09-02 12:44:56-07:00
34.171030000000002,-118.570800000000006,"842","10",2019-09-02 12:46:53-07:00
34.172579999999996,-118.561999999999998,"829","10",2019-09-02 12:48:16-07:00
34.172590000000000,-118.553100000000001,"800","10",2019-09-02 12:49:34-07:00
34.171559999999999,-118.543000000000006,"800","5",2019-09-02 12:50:54-07:00
34.168950000000002,-118.536500000000004,"780","5",2019-09-02 12:52:37-07:00
34.167720000000003,-118.532799999999995,"800","10",2019-09-02 12:56:00-07:00
34.171669999999999,-118.543300000000002,"800","30",2019-09-02 13:47:09-07:00
34.172770000000000,-118.554900000000004,"800","10",2019-09-02 13:48:27-07:00
34.172340000000005,-118.565899999999999,"836","10",2019-09-02 13:49:53-07:00
34.170749999999998,-118.571799999999996,"833","10",2019-09-02 13:51:22-07:00
34.166629999999998,-118.585400000000007,"915","10",2019-09-02 13:52:40-07:00
34.167209999999997,-118.585899999999995,"931","10",2019-09-02 13:54:12-07:00
34.167299999999997,-118.585700000000003,"931","10",2019-09-02 13:56:19-07:00
34.167510000000000,-118.584900000000005,"928","10",2019-09-02 13:58:26-07:00
34.167679999999997,-118.584699999999998,"934","10",2019-09-02 14:01:19-07:00
34.167090000000002,-118.585099999999997,"934","10",2019-09-02 14:03:29-07:00
34.167059999999999,-118.585300000000004,"931","10",2019-09-02 14:07:19-07:00
34.167349999999999,-118.585899999999995,"934","10",2019-09-02 14:11:10-07:00
34.166570000000000,-118.588300000000004,"911","10",2019-09-02 14:13:04-07:00
34.168360000000000,-118.597399999999993,"898","10",2019-09-02 14:14:20-07:00
34.177450000000000,-118.597399999999993,"852","10",2019-09-02 14:15:39-07:00
34.182510000000001,-118.597399999999993,"826","10",2019-09-02 14:16:56-07:00
34.188290000000002,-118.597499999999997,"803","10",2019-09-02 14:19:06-07:00
34.188600000000001,-118.600399999999993,"803","10",2019-09-02 14:20:24-07:00
34.188769999999998,-118.600300000000004,"813","10",2019-09-02 14:22:39-07:00
34.188829999999996,-118.600200000000001,"829","30",2019-09-02 18:17:06-07:00
34.188829999999996,-118.600399999999993,"810","50",2019-09-02 18:34:00-07:00
34.193610000000000,-118.601500000000001,"790","10",2019-09-02 19:08:02-07:00
34.191240000000001,-118.597499999999997,"797","10",2019-09-02 19:09:20-07:00
34.184690000000003,-118.597499999999997,"816","10",2019-09-02 19:10:52-07:00
34.174329999999998,-118.597499999999997,"852","10",2019-09-02 19:12:10-07:00
34.166069999999998,-118.597700000000003,"908","10",2019-09-02 19:13:33-07:00
34.166600000000003,-118.599199999999996,"954","10",2019-09-02 19:14:50-07:00
34.162959999999998,-118.601600000000005,"941","165",2019-09-05 07:51:39-07:00
34.167059999999999,-118.586600000000004,"879","10",2019-09-05 11:45:08-07:00
34.166930000000001,-118.585300000000004,"931","10",2019-09-05 11:47:14-07:00
34.167050000000003,-118.584800000000001,"924","10",2019-09-05 11:49:22-07:00
34.167140000000003,-118.584599999999995,"924","10",2019-09-05 11:49:59-07:00
34.167629999999996,-118.584500000000006,"924","10",2019-09-05 11:52:22-07:00
34.167299999999997,-118.584999999999994,"928","10",2019-09-05 11:54:34-07:00
34.167130000000000,-118.585300000000004,"924","10",2019-09-05 11:56:45-07:00
34.167000000000002,-118.585400000000007,"928","10",2019-09-05 11:58:02-07:00
34.167079999999999,-118.585700000000003,"931","10",2019-09-05 12:03:48-07:00
34.167050000000003,-118.586699999999993,"918","10",2019-09-05 12:06:01-07:00
34.166909999999994,-118.591899999999995,"892","10",2019-09-05 12:07:19-07:00
34.168109999999999,-118.597399999999993,"892","10",2019-09-05 12:08:43-07:00
34.171859999999995,-118.597300000000004,"879","10",2019-09-05 12:10:01-07:00
34.178470000000004,-118.597399999999993,"839","10",2019-09-05 12:11:32-07:00
34.182790000000004,-118.600200000000001,"820","10",2019-09-05 12:12:50-07:00
34.182890000000000,-118.602500000000006,"829","10",2019-09-05 12:14:54-07:00
34.183019999999999,-118.605000000000004,"836","10",2019-09-05 12:16:16-07:00
34.183329999999998,-118.605199999999996,"833","65",2019-09-05 12:18:52-07:00
34.183320000000002,-118.605199999999996,"836","65",2019-09-05 12:19:13-07:00
34.183329999999998,-118.605300000000000,"823","30",2019-09-05 12:26:23-07:00
34.183000000000000,-118.605000000000004,"836","10",2019-09-05 12:28:11-07:00
34.182829999999996,-118.605500000000006,"823","10",2019-09-05 12:30:28-07:00
34.179200000000002,-118.604399999999998,"839","10",2019-09-05 12:31:46-07:00
34.179029999999997,-118.598399999999998,"829","10",2019-09-05 12:33:04-07:00
34.174970000000002,-118.597499999999997,"846","10",2019-09-05 12:34:22-07:00
34.170459999999999,-118.597499999999997,"882","10",2019-09-05 12:35:41-07:00
34.167130000000000,-118.598500000000001,"918","10",2019-09-05 12:36:59-07:00
34.166359999999997,-118.598100000000002,"934","10",2019-09-05 12:44:40-07:00
34.167320000000004,-118.597499999999997,"902","10",2019-09-05 12:45:56-07:00
34.169240000000002,-118.597399999999993,"892","10",2019-09-05 12:47:35-07:00
34.172950000000000,-118.597499999999997,"879","10",2019-09-05 12:48:58-07:00
34.173330000000000,-118.601299999999995,"859","10",2019-09-05 12:50:17-07:00
34.172159999999998,-118.606700000000004,"875","10",2019-09-05 13:00:16-07:00
34.171999999999997,-118.606800000000007,"872","10",2019-09-05 13:05:17-07:00
34.172029999999999,-118.606600000000000,"882","10",2019-09-05 13:12:19-07:00
34.171929999999996,-118.606800000000007,"875","10",2019-09-05 13:13:35-07:00
